repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
after_fix,online_raw_active,obs_current,9,100,0,0,0.6968900206685066,0.2164934018620169,-0.18443043529987335,1.0269099473953247,0.14386747151613236,0.3102932542562485,0.7269464731216431,0.9773919641971588,1.0234053087234498,
after_fix,online_raw_active,obs_current,10,100,0,0,0.645,0.24794152536434874,0.0,1.0,0.0,0.5,0.5,1.0,1.0,
after_fix,online_raw_active,obs_current,11,100,0,0,0.008648071736097336,0.05067638975737658,0.0,0.4178881347179413,0.0,0.0,0.0,0.0,0.2720926994085319,
after_fix,online_raw_active,history_valid_mask,0,2000,0,0,0.4335,0.49555801880304595,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
after_fix,online_raw_active,history_rel_pos,0,867,0,0,-8.649236972219255,3.3832981065573016,-18.26740074157715,-0.4191780090332031,-14.20757007598877,-13.98027515411377,-8.34819221496582,-3.3374319076538086,-1.8877172470092773,
after_fix,online_raw_active,history_rel_pos,1,867,0,0,-1.6208222214532146,6.140518012332457,-12.107460975646973,12.506163597106934,-8.892300605773926,-8.555676460266113,-4.279414176940918,8.599974632263184,8.6746187210083,
after_fix,online_raw_active,history_rel_pos,2,867,0,0,-0.0014407373492143008,0.08581866317776185,-0.14309799671173096,0.11972105503082275,-0.1351008415222168,-0.12268733978271484,-0.02766239643096924,0.11972105503082275,0.11972105503082275,
after_fix,online_raw_active,history_rel_vel,0,867,0,0,1.7886608668024016,0.6454596836174226,-0.5460886359214783,3.142305850982666,-0.045950278639793396,0.6416257619857788,2.0058703422546387,2.6119446754455566,2.7509219646453857,
after_fix,online_raw_active,history_rel_vel,1,867,0,0,1.047198086942631,0.8927412189638115,-2.147085189819336,2.226825714111328,-0.8827368021011353,-0.8252571821212769,1.405611276626587,2.0902349948883057,2.090475082397461,
after_fix,online_raw_active,history_rel_vel,2,867,0,0,0.0014787449045192704,0.03224966188063786,-0.18280832469463348,0.06902434676885605,-0.08685386925935745,-0.04070542752742767,0.0,0.03103356994688511,0.031033571809530258,
after_fix,online_normalized_active,history_rel_pos,0,867,0,0,-0.6606451888045569,0.28344750934657825,-1.4664400815963745,0.028856491670012474,-1.1263138055801392,-1.107271432876587,-0.6354241371154785,-0.21563032269477844,-0.09417546540498734,
after_fix,online_normalized_active,history_rel_pos,1,867,0,0,-0.3985021327769399,1.486396998461715,-2.9369375705718994,3.0211293697357178,-2.158663749694824,-2.077179193496704,-1.0420509576797485,2.075582504272461,2.093651294708252,
after_fix,online_normalized_active,history_rel_pos,2,867,0,0,-0.0020825404968142784,0.33096478699122783,-0.5483922362327576,0.46518513560295105,-0.5175507068634033,-0.46967726945877075,-0.10320793837308884,0.46518513560295105,0.46518513560295105,
after_fix,online_normalized_active,history_rel_vel,0,867,0,0,5.032073612976927,1.8190946540721642,-1.547935128211975,8.847042083740234,-0.13839852809906006,1.7993922233581543,5.644233703613281,7.352328777313232,7.744007587432861,
after_fix,online_normalized_active,history_rel_vel,1,867,0,0,1.0325798103553614,0.8702379349348169,-2.0811853408813477,2.1824727058410645,-0.8487073183059692,-0.792676568031311,1.3819584846496582,2.0493249893188477,2.0495591163635254,
after_fix,online_normalized_active,history_rel_vel,2,867,0,0,0.014434884877681018,0.3059387105729669,-1.733817458152771,0.6552110910415649,-0.8235387206077576,-0.3857482671737671,0.00040666398126631975,0.29480883479118347,0.29480886459350586,
after_fix,online_normalized_active,ego_current,0,100,0,0,-0.9091781228780746,0.2332410051815437,-0.9999738335609436,0.0,-0.9999738335609436,-0.9999735504388809,-0.9994330406188965,-0.5231238991022126,0.0,
after_fix,online_normalized_active,ego_current,1,100,0,0,0.006549303047358989,0.0016801614458594447,0.0,0.00720335403457284,0.0,0.0037683453643694528,0.007199458312243223,0.007203352265059948,0.00720335403457284,
after_fix,online_normalized_active,ego_current,2,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
after_fix,online_normalized_active,ego_current,3,100,0,0,-0.9393707871437073,2.9200193199910855e-08,-0.9393708109855652,-0.9393707513809204,-0.9393708109855652,-0.9393708109855652,-0.9393708109855652,-0.9393707513809204,-0.9393707513809204,
after_fix,online_normalized_active,ego_current,4,100,0,0,0.416120770573616,4.308471767545033e-08,0.416120707988739,0.41612088680267334,0.416120707988739,0.416120707988739,0.4161207675933838,0.4161208301782608,0.41612088680267334,
after_fix,online_normalized_active,ego_current,5,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
